horizon,bundle,model,bundle_type,n_features,train_size,test_size,accuracy,precision,recall,f1_score,specificity,roc_auc,true_positives,true_negatives,false_positives,false_negatives,positive_predictive_value,negative_predictive_value,balanced_accuracy,f2_score,mcc
2,hybrid,logistic_l2,hybrid,56,169,241,0.4190871369294606,0.37254901960784315,0.8636363636363636,0.5205479452054794,0.16339869281045752,0.5037136066547832,76,25,128,12,0.37254901960784315,0.6756756756756757,0.5135175282234106,0.6834532374100719,0.03610758035538633
2,hybrid,random_forest,hybrid,56,169,241,0.36099585062240663,0.3625,0.9886363636363636,0.5304878048780488,0.0,0.4930184194890077,87,0,153,1,0.3625,0.0,0.4943181818181818,0.7347972972972973,-0.08511356050488184
2,hybrid,gradient_boosting,hybrid,56,169,241,0.42323651452282157,0.375609756097561,0.875,0.5255972696245734,0.16339869281045752,0.5329025549613785,77,25,128,11,0.375609756097561,0.6944444444444444,0.5191993464052288,0.6912028725314183,0.051865110880963634
2,hybrid,xgboost,hybrid,56,169,241,0.36929460580912865,0.36324786324786323,0.9659090909090909,0.5279503105590062,0.026143790849673203,0.4742275698158051,85,4,149,3,0.36324786324786323,0.5714285714285714,0.4960264408793821,0.7252559726962458,-0.02278451442461459
2,hybrid,svm_rbf,hybrid,56,169,241,0.38589211618257263,0.3598130841121495,0.875,0.5099337748344371,0.10457516339869281,0.5200534759358288,77,16,137,11,0.3598130841121495,0.5925925925925926,0.4897875816993464,0.6802120141342756,-0.031178618899101836
2,hybrid,knn,hybrid,56,169,241,0.3817427385892116,0.3656387665198238,0.9431818181818182,0.526984126984127,0.058823529411764705,0.5330882352941176,83,9,144,5,0.3656387665198238,0.6428571428571429,0.5010026737967914,0.7167530224525043,0.004127620552376194
2,hybrid,naive_bayes,hybrid,56,169,241,0.38589211618257263,0.3623853211009174,0.8977272727272727,0.5163398692810458,0.0915032679738562,0.5372103386809268,79,14,139,9,0.3623853211009174,0.6086956521739131,0.49461527035056446,0.6929824561403509,-0.017647727368691916
2,sentiment_core,logistic_l1,sentiment,4,169,241,0.3941908713692946,0.3273809523809524,0.625,0.4296875,0.26143790849673204,0.422756981580511,55,40,113,33,0.3273809523809524,0.547945205479452,0.443218954248366,0.5288461538461539,-0.11898832828946182
2,sentiment_core,logistic_l2,sentiment,4,169,241,0.4107883817427386,0.34831460674157305,0.7045454545454546,0.46616541353383456,0.24183006535947713,0.4276589423648247,62,37,116,26,0.34831460674157305,0.5873015873015873,0.47318775995246587,0.5849056603773585,-0.05875838766488824
2,sentiment_core,random_forest,sentiment,4,169,241,0.4190871369294606,0.34523809523809523,0.6590909090909091,0.453125,0.28104575163398693,0.4393568033273916,58,43,110,30,0.34523809523809523,0.589041095890411,0.470068330362448,0.5576923076923077,-0.06272373616828399
2,sentiment_core,gradient_boosting,sentiment,4,169,241,0.44398340248962653,0.34868421052631576,0.6022727272727273,0.44166666666666665,0.35294117647058826,0.4667260843731432,53,54,99,35,0.34868421052631576,0.6067415730337079,0.4776069518716578,0.5257936507936508,-0.04468003075253047
2,sentiment_core,xgboost,sentiment,4,169,241,0.43568464730290457,0.35185185185185186,0.6477272727272727,0.456,0.3137254901960784,0.4580733808674985,57,48,105,31,0.35185185185185186,0.6075949367088608,0.48072638146167557,0.5544747081712063,-0.03953750441757394
2,sentiment_core,svm_rbf,sentiment,4,169,241,0.4024896265560166,0.3409090909090909,0.6818181818181818,0.45454545454545453,0.24183006535947713,0.5487967914438503,60,37,116,28,0.3409090909090909,0.5692307692307692,0.46182412358882946,0.5681818181818182,-0.08283102792542416
2,sentiment_core,knn,sentiment,4,169,241,0.4024896265560166,0.3372093023255814,0.6590909090909091,0.4461538461538462,0.2549019607843137,0.4263963161021984,58,39,114,30,0.3372093023255814,0.5652173913043478,0.4569964349376114,0.5534351145038168,-0.09160786023958549
2,sentiment_core,naive_bayes,sentiment,4,169,241,0.38589211618257263,0.3557692307692308,0.8409090909090909,0.5,0.12418300653594772,0.43835412953060016,74,19,134,14,0.3557692307692308,0.5757575757575758,0.4825460487225193,0.6607142857142857,-0.04889023998089246
2,technical_trend,logistic_l1,technical,15,169,241,0.3651452282157676,0.3651452282157676,1.0,0.5349544072948328,0.0,0.5329025549613785,88,0,153,0,0.3651452282157676,0.0,0.5,0.7419898819561551,0.0
2,technical_trend,logistic_l2,technical,15,169,241,0.37344398340248963,0.3682008368200837,1.0,0.5382262996941896,0.013071895424836602,0.5319370172311348,88,2,151,0,0.3682008368200837,1.0,0.5065359477124183,0.7445008460236887,0.0693763852780574
2,technical_trend,random_forest,technical,15,169,241,0.3651452282157676,0.3651452282157676,1.0,0.5349544072948328,0.0,0.5493166963755198,88,0,153,0,0.3651452282157676,0.0,0.5,0.7419898819561551,0.0
2,technical_trend,gradient_boosting,technical,15,169,241,0.47717842323651455,0.375,0.6477272727272727,0.475,0.3790849673202614,0.5164512774806892,57,58,95,31,0.375,0.651685393258427,0.5134061200237671,0.5654761904761905,0.026748741462128526
2,technical_trend,xgboost,technical,15,169,241,0.3651452282157676,0.36401673640167365,0.9886363636363636,0.5321100917431193,0.006535947712418301,0.514297385620915,87,1,152,1,0.36401673640167365,0.5,0.49758615567439096,0.7360406091370558,-0.025621960472009837
2,technical_trend,svm_rbf,technical,15,169,241,0.36099585062240663,0.358974358974359,0.9545454545454546,0.5217391304347826,0.0196078431372549,0.45937314319667255,84,3,150,4,0.358974358974359,0.42857142857142855,0.48707664884135476,0.7167235494880546,-0.0741029067267839
2,technical_trend,knn,technical,15,169,241,0.4066390041493776,0.37777777777777777,0.9659090909090909,0.5431309904153354,0.08496732026143791,0.5212046939988116,85,13,140,3,0.37777777777777777,0.8125,0.5254382055852644,0.7365684575389948,0.0983902965684967
2,technical_trend,naive_bayes,technical,15,169,241,0.6514522821576764,0.6111111111111112,0.125,0.20754716981132076,0.954248366013072,0.5835932857991681,11,146,7,77,0.6111111111111112,0.6547085201793722,0.539624183006536,0.14864864864864866,0.1451405230594407
2,technical_momentum,logistic_l1,technical,11,169,241,0.38589211618257263,0.3611111111111111,0.8863636363636364,0.5131578947368421,0.09803921568627451,0.5252525252525251,78,15,138,10,0.3611111111111111,0.6,0.4922014260249554,0.6866197183098591,-0.024628352637043695
