symbol,date,ensemble_score_mean,ensemble_score_std,ensemble_score_count,confidence_mean,relevance_score_mean,sentiment_lag1,sentiment_lag2
GRSE.NS,2025-06-20,-0.3715,0.3523,3,0.3937,0.8,0.2418,0.3404
GRSE.NS,2025-06-22,0.4567,,1,0.4567,0.4,-0.3715,0.2418
GRSE.NS,2025-06-23,-0.3234,0.1703,5,0.3234,0.82,0.4567,-0.3715
GRSE.NS,2025-06-24,0.0659,0.3428,5,0.2616,0.86,-0.3234,0.4567
GRSE.NS,2025-06-25,-0.1423,0.0802,3,0.1423,0.7,0.0659,-0.3234
GRSE.NS,2025-06-26,0.2449,0.3598,3,0.2449,0.7,-0.1423,0.0659
GRSE.NS,2025-06-27,0.3934,,1,0.3934,0.7,0.2449,-0.1423
GRSE.NS,2025-06-28,-0.1562,,1,0.1562,0.7,0.3934,0.2449
GRSE.NS,2025-07-01,-0.0126,0.3247,8,0.2532,0.6625,-0.1562,0.3934
GRSE.NS,2025-07-02,0.2135,,1,0.2135,0.95,-0.0126,-0.1562
GRSE.NS,2025-07-03,0.0828,0.4882,2,0.3452,0.55,0.2135,-0.0126
GRSE.NS,2025-07-04,0.1119,0.3718,6,0.3048,0.7,0.0828,0.2135
GRSE.NS,2025-07-07,0.1587,0.2498,5,0.2376,0.8,0.1119,0.0828
GRSE.NS,2025-07-08,0.1614,0.389,4,0.3356,0.775,0.1587,0.1119
GRSE.NS,2025-07-10,0.2504,0.25,5,0.2959,0.81,0.1614,0.1587
GRSE.NS,2025-07-14,-0.0454,0.0688,2,0.0486,0.85,0.2504,0.1614
GRSE.NS,2025-07-16,0.0897,0.3243,8,0.2901,0.6625,-0.0454,0.2504
GRSE.NS,2025-07-18,0.2034,0.2104,3,0.2173,0.7833,0.0897,-0.0454
GRSE.NS,2025-07-21,0.1983,0.278,3,0.2661,0.6,0.2034,0.0897
GRSE.NS,2025-07-22,-0.2246,0.0218,4,0.2246,0.6875,0.1983,0.2034
GRSE.NS,2025-07-23,0.5827,,1,0.5827,0.7,-0.2246,0.1983
GRSE.NS,2025-07-24,0.5584,0.1431,2,0.5584,0.85,0.5827,-0.2246
GRSE.NS,2025-07-25,-0.2981,,1,0.2981,0.7,0.5584,0.5827
GRSE.NS,2025-07-27,0.4523,,1,0.4523,1.0,-0.2981,0.5584
GRSE.NS,2025-07-28,-0.0142,0.3032,2,0.2144,0.7,0.4523,-0.2981
GRSE.NS,2025-07-29,0.0093,0.217,4,0.1836,0.85,-0.0142,0.4523
GRSE.NS,2025-08-01,0.1606,0.2696,9,0.2676,0.8222,0.0093,-0.0142
GRSE.NS,2025-08-02,0.3317,,1,0.3317,0.7,0.1606,0.0093
GRSE.NS,2025-08-04,0.6374,,1,0.6374,0.4,0.3317,0.1606
GRSE.NS,2025-08-05,0.6389,,1,0.6389,0.7,0.6374,0.3317
GRSE.NS,2025-08-08,0.1367,0.3607,10,0.3283,0.75,0.6389,0.6374
GRSE.NS,2025-08-11,0.4574,0.0277,3,0.4574,0.9,0.1367,0.6389
GRSE.NS,2025-08-14,0.2662,0.3619,6,0.3694,0.75,0.4574,0.1367
GRSE.NS,2025-08-15,0.7237,,1,0.7237,0.7,0.2662,0.4574
HAL.NS,2025-05-13,-0.3381,,1,0.3381,1.0,,
HAL.NS,2025-05-14,0.1023,0.1585,2,0.1121,1.0,-0.3381,
HAL.NS,2025-05-15,-0.0098,,1,0.0098,1.0,0.1023,-0.3381
HAL.NS,2025-05-16,0.4501,,1,0.4501,1.0,-0.0098,0.1023
HAL.NS,2025-05-19,0.446,,1,0.446,1.0,0.4501,-0.0098
HAL.NS,2025-05-20,0.3352,0.3626,2,0.3352,1.0,0.446,0.4501
HAL.NS,2025-05-21,-0.2663,0.1747,2,0.2663,1.0,0.3352,0.446
HAL.NS,2025-05-22,-0.0337,0.1769,2,0.1251,1.0,-0.2663,0.3352
HAL.NS,2025-05-26,-0.1536,,1,0.1536,1.0,-0.0337,-0.2663
HAL.NS,2025-05-27,0.4016,,1,0.4016,1.0,-0.1536,-0.0337
HAL.NS,2025-05-28,0.0156,0.1735,2,0.1227,1.0,0.4016,-0.1536
HAL.NS,2025-06-03,-0.2393,,1,0.2393,1.0,0.0156,0.4016
HAL.NS,2025-06-04,-0.1662,,1,0.1662,1.0,-0.2393,0.0156
HAL.NS,2025-06-05,0.5862,,1,0.5862,1.0,-0.1662,-0.2393
HAL.NS,2025-06-10,-0.2705,,1,0.2705,1.0,0.5862,-0.1662
HAL.NS,2025-06-13,-0.6934,,1,0.6934,1.0,-0.2705,0.5862
HAL.NS,2025-06-18,0.0359,,1,0.0359,1.0,-0.6934,-0.2705
HAL.NS,2025-06-23,-0.5974,,1,0.5974,1.0,0.0359,-0.6934
HAL.NS,2025-06-25,-0.0514,,1,0.0514,1.0,-0.5974,0.0359
HAL.NS,2025-06-26,0.3467,,1,0.3467,1.0,-0.0514,-0.5974
HAL.NS,2025-06-30,0.5771,,1,0.5771,1.0,0.3467,-0.0514
HAL.NS,2025-07-02,0.722,,1,0.722,1.0,0.5771,0.3467
HAL.NS,2025-07-03,0.6913,,1,0.6913,1.0,0.722,0.5771
HAL.NS,2025-07-04,-0.2938,,1,0.2938,1.0,0.6913,0.722
HAL.NS,2025-07-08,-0.232,,1,0.232,1.0,-0.2938,0.6913
HAL.NS,2025-07-10,0.2559,,1,0.2559,1.0,-0.232,-0.2938
HAL.NS,2025-07-14,-0.094,,1,0.094,1.0,0.2559,-0.232
HAL.NS,2025-07-16,0.4465,0.0113,2,0.4465,1.0,-0.094,0.2559
HAL.NS,2025-07-18,0.2181,0.0298,2,0.2181,1.0,0.4465,-0.094
HAL.NS,2025-07-29,0.3502,0.1004,3,0.3502,1.0,0.2181,0.4465
HAL.NS,2025-07-30,0.2675,0.2492,2,0.2675,1.0,0.3502,0.2181
HAL.NS,2025-07-31,0.4486,,1,0.4486,1.0,0.2675,0.3502
HAL.NS,2025-08-01,0.4521,,1,0.4521,1.0,0.4486,0.2675
HAL.NS,2025-08-03,0.4314,,1,0.4314,1.0,0.4521,0.4486
HAL.NS,2025-08-04,0.1022,0.5021,2,0.355,1.0,0.4314,0.4521
HAL.NS,2025-08-07,0.4329,,1,0.4329,1.0,0.1022,0.4314
HAL.NS,2025-08-08,0.2634,0.301,9,0.3493,0.7,0.4329,0.1022
HAL.NS,2025-08-09,0.2228,0.27,3,0.2804,0.6,0.2634,0.4329
HAL.NS,2025-08-10,0.595,,1,0.595,0.7,0.2228,0.2634
