date,open,high,low,close,volume,symbol
18-06-2025,12484.87153,12742.08759,12415.62106,12611.50098,467738,MARUTI
19-06-2025,12613.4795,12687.67644,12577.86497,12668.87988,339117,MARUTI
20-06-2025,12671.8473,12751.97999,12591.71461,12654.04004,652128,MARUTI
23-06-2025,12634.25445,12649.09384,12530.37874,12563.02539,192037,MARUTI
24-06-2025,12692.62283,12717.35514,12418.58881,12475.96777,332717,MARUTI
25-06-2025,12548.18657,12669.86955,12481.90397,12630.29785,316536,MARUTI
26-06-2025,12643.15851,12710.4304,12553.13289,12578.85449,354735,MARUTI
27-06-2025,12613.47933,12661.95466,12485.8606,12506.63574,346403,MARUTI
30-06-2025,12531.36765,12539.28199,12199.95467,12267.22656,448956,MARUTI
01-07-2025,12316.69168,12325.59532,12188.08366,12308.77734,283481,MARUTI
02-07-2025,12247.44083,12507.62475,12226.66569,12486.84961,609735,MARUTI
03-07-2025,12494.76432,12682.7299,12455.19262,12615.45801,606221,MARUTI
04-07-2025,12578.85395,12611.50061,12472.99966,12510.59277,225607,MARUTI
07-07-2025,12511.58253,12534.33626,12337.46705,12385.94238,220116,MARUTI
08-07-2025,12390.88862,12420.56739,12226.66606,12281.07715,241050,MARUTI
09-07-2025,12301.8523,12405.72801,12296.90584,12336.47754,174203,MARUTI
10-07-2025,12366.15593,12534.33565,12268.21598,12514.5498,277325,MARUTI
11-07-2025,12504.65756,12549.17573,12386.93175,12439.36426,194420,MARUTI
14-07-2025,12455.19307,12480.91467,12297.89556,12380.00684,246737,MARUTI
15-07-2025,12347.35942,12463.10664,12347.35942,12401.77051,147377,MARUTI
16-07-2025,12401.77051,12436.39575,12305.80914,12429.4707,204480,MARUTI
17-07-2025,12434.41729,12491.79625,12329.55228,12342.41309,189207,MARUTI
18-07-2025,12390.88844,12392.86703,12237.54811,12286.02344,124068,MARUTI
21-07-2025,12297.89543,12344.39218,12209.8484,12272.17383,232066,MARUTI
22-07-2025,12315.70261,12395.8353,12187.09458,12358.24219,169006,MARUTI
23-07-2025,12405.72842,12582.81179,12405.72842,12491.79688,342005,MARUTI
24-07-2025,12512.57152,12525.43232,12384.95278,12422.5459,157163,MARUTI
25-07-2025,12410.67482,12422.54633,12224.68782,12271.18457,260700,MARUTI
28-07-2025,12238.53721,12400.78117,12170.27603,12207.86914,292879,MARUTI
29-07-2025,12207.86955,12373.0814,12136.64049,12335.48828,285115,MARUTI
30-07-2025,12297.89488,12507.62489,12287.01267,12482.89258,203847,MARUTI
31-07-2025,12372.09216,12623.37246,12330.54188,12473,709783,MARUTI
01-08-2025,12521,12779,12273,12302,346024,MARUTI
04-08-2025,12326,12425,12225,12365,255693,MARUTI
05-08-2025,12400,12577,12370,12537,233560,MARUTI
06-08-2025,12570,12619,12483,12524,151608,MARUTI
07-08-2025,12525,12654,12429,12632,173393,MARUTI
08-08-2025,12630,12725,12564,12590,247048,MARUTI
11-08-2025,12585,12734,12482,12597,187230,MARUTI
12-08-2025,12620,12959,12606,12840,504476,MARUTI
13-08-2025,12840,12925,12752,12834,252065,MARUTI
14-08-2025,12864,12956,12825,12936,318580,MARUTI
01-02-2025,2966.16967,3074.251289,2966.16967,3052.228271,2674573,M&M
03-02-2025,3032.238939,3162.541931,3020.483286,3148.008789,3664084,M&M
